date,CPI_pct_scaled,PPI_pct_scaled,PCE_pct_scaled,CPI_pct_scaled_lag_1,PPI_pct_scaled_lag_1,PCE_pct_scaled_lag_1,CPI_pct_scaled_lag_2,PPI_pct_scaled_lag_2,PCE_pct_scaled_lag_2,CPI_pct_scaled_lag_3,PPI_pct_scaled_lag_3,PCE_pct_scaled_lag_3
1959-06-01,0.8949351918222297,0.42975406277765354,0.5825974402684952,0.8979560382870021,0.2147214056721158,0.5818974570845749,0.8931583326112789,0.4282989868561204,0.5833226974927831,0.8952407216432972,0.6949567998614117,0.5824517963242624
1959-07-01,0.8937113864760151,0.42825539875523294,0.582209057128926,0.8949351918222297,0.42975406277765354,0.5825974402684952,0.8979560382870021,0.2147214056721158,0.5818974570845749,0.8931583326112789,0.4282989868561204,0.5833226974927831
1959-08-01,0.895462037432088,0.4321326891264283,0.5822687792664837,0.8937113864760151,0.42825539875523294,0.582209057128926,0.8949351918222297,0.42975406277765354,0.5825974402684952,0.8979560382870021,0.2147214056721158,0.5818974570845749
1959-09-01,0.8959392454643852,0.4493436858011196,0.5813669536247099,0.895462037432088,0.4321326891264283,0.5822687792664837,0.8937113864760151,0.42825539875523294,0.582209057128926,0.8949351918222297,0.42975406277765354,0.5825974402684952
1959-10-01,0.8991387131693823,0.42969847753496776,0.5819987777376477,0.8959392454643852,0.4493436858011196,0.5813669536247099,0.895462037432088,0.4321326891264283,0.5822687792664837,0.8937113864760151,0.42825539875523294,0.582209057128926
1959-11-01,0.8955717342886961,0.43013621352551323,0.5771907696869424,0.8991387131693823,0.42969847753496776,0.5819987777376477,0.8959392454643852,0.4493436858011196,0.5813669536247099,0.895462037432088,0.4321326891264283,0.5822687792664837
1959-12-01,0.896211488127659,0.4329216705121514,0.5819576443712144,0.8955717342886961,0.43013621352551323,0.5771907696869424,0.8991387131693823,0.42969847753496776,0.5819987777376477,0.8959392454643852,0.4493436858011196,0.5813669536247099
1960-01-01,0.8947359563298878,0.42716578796254545,0.5828693047057439,0.896211488127659,0.4329216705121514,0.5819576443712144,0.8955717342886961,0.43013621352551323,0.5771907696869424,0.8991387131693823,0.42969847753496776,0.5819987777376477
1960-02-01,0.8951148456718512,0.42833771534860227,0.5811562261706359,0.8947359563298878,0.42716578796254545,0.5828693047057439,0.896211488127659,0.4329216705121514,0.5819576443712144,0.8955717342886961,0.43013621352551323,0.5771907696869424
1960-03-01,0.8985935204774815,0.3899135997228233,0.5827073161076193,0.8951148456718512,0.42833771534860227,0.5811562261706359,0.8947359563298878,0.42716578796254545,0.5828693047057439,0.896211488127659,0.4329216705121514,0.5819576443712144
1960-04-01,0.898943105371732,0.42102294167682763,0.5833673597258171,0.8985935204774815,0.3899135997228233,0.5827073161076193,0.8951148456718512,0.42833771534860227,0.5811562261706359,0.8947359563298878,0.42716578796254545,0.5828693047057439
1960-05-01,0.8953358444155235,0.4354922133708302,0.581795327210575,0.898943105371732,0.42102294167682763,0.5833673597258171,0.8985935204774815,0.3899135997228233,0.5827073161076193,0.8951148456718512,0.42833771534860227,0.5811562261706359
1960-06-01,0.8941664328202665,0.4288618025839902,0.5823371953838417,0.8953358444155235,0.4354922133708302,0.581795327210575,0.898943105371732,0.42102294167682763,0.5833673597258171,0.8985935204774815,0.3899135997228233,0.5827073161076193
1960-07-01,0.8958883642153281,0.4281898523454682,0.5821369482220504,0.8941664328202665,0.4288618025839902,0.5823371953838417,0.8953358444155235,0.4354922133708302,0.581795327210575,0.898943105371732,0.42102294167682763,0.5833673597258171
1960-08-01,0.8945342171454291,0.4321326891264283,0.5826441024593438,0.8958883642153281,0.4281898523454682,0.5821369482220504,0.8941664328202665,0.4288618025839902,0.5823371953838417,0.8953358444155235,0.4354922133708302,0.581795327210575
1960-09-01,0.8945162633943268,0.43704747319393267,0.5818319340127526,0.8945342171454291,0.4321326891264283,0.5826441024593438,0.8958883642153281,0.4281898523454682,0.5821369482220504,0.8941664328202665,0.4288618025839902,0.5823371953838417
