realtime_start,realtime_end,date,value
2024-05-29,2024-05-29,1993-05-01,144.2
2024-05-29,2024-05-29,1993-06-01,144.3
2024-05-29,2024-05-29,1993-07-01,144.5
2024-05-29,2024-05-29,1993-08-01,144.8
2024-05-29,2024-05-29,1993-09-01,145.0
2024-05-29,2024-05-29,1993-10-01,145.6
2024-05-29,2024-05-29,1993-11-01,146.0
2024-05-29,2024-05-29,1993-12-01,146.3
2024-05-29,2024-05-29,1994-01-01,146.3
2024-05-29,2024-05-29,1994-02-01,146.7
2024-05-29,2024-05-29,1994-03-01,147.1
2024-05-29,2024-05-29,1994-04-01,147.2
2024-05-29,2024-05-29,1994-05-01,147.5
2024-05-29,2024-05-29,1994-06-01,147.9
2024-05-29,2024-05-29,1994-07-01,148.4
2024-05-29,2024-05-29,1994-08-01,149.0
2024-05-29,2024-05-29,1994-09-01,149.3
2024-05-29,2024-05-29,1994-10-01,149.4
2024-05-29,2024-05-29,1994-11-01,149.8
2024-05-29,2024-05-29,1994-12-01,150.1
2024-05-29,2024-05-29,1995-01-01,150.5
2024-05-29,2024-05-29,1995-02-01,150.9
2024-05-29,2024-05-29,1995-03-01,151.2
2024-05-29,2024-05-29,1995-04-01,151.8
2024-05-29,2024-05-29,1995-05-01,152.1
2024-05-29,2024-05-29,1995-06-01,152.4
2024-05-29,2024-05-29,1995-07-01,152.6
2024-05-29,2024-05-29,1995-08-01,152.9
2024-05-29,2024-05-29,1995-09-01,153.1
2024-05-29,2024-05-29,1995-10-01,153.5
2024-05-29,2024-05-29,1995-11-01,153.7
2024-05-29,2024-05-29,1995-12-01,153.9
2024-05-29,2024-05-29,1996-01-01,154.7
2024-05-29,2024-05-29,1996-02-01,155.0
2024-05-29,2024-05-29,1996-03-01,155.5
2024-05-29,2024-05-29,1996-04-01,156.1
2024-05-29,2024-05-29,1996-05-01,156.4
2024-05-29,2024-05-29,1996-06-01,156.7
2024-05-29,2024-05-29,1996-07-01,157.0
2024-05-29,2024-05-29,1996-08-01,157.2
2024-05-29,2024-05-29,1996-09-01,157.7
2024-05-29,2024-05-29,1996-10-01,158.2
2024-05-29,2024-05-29,1996-11-01,158.7
2024-05-29,2024-05-29,1996-12-01,159.1
2024-05-29,2024-05-29,1997-01-01,159.4
2024-05-29,2024-05-29,1997-02-01,159.7
2024-05-29,2024-05-29,1997-03-01,159.8
2024-05-29,2024-05-29,1997-04-01,159.9
2024-05-29,2024-05-29,1997-05-01,159.9
2024-05-29,2024-05-29,1997-06-01,160.2
2024-05-29,2024-05-29,1997-07-01,160.4
2024-05-29,2024-05-29,1997-08-01,160.8
2024-05-29,2024-05-29,1997-09-01,161.2
2024-05-29,2024-05-29,1997-10-01,161.5
2024-05-29,2024-05-29,1997-11-01,161.7
2024-05-29,2024-05-29,1997-12-01,161.8
2024-05-29,2024-05-29,1998-01-01,162.0
2024-05-29,2024-05-29,1998-02-01,162.0
2024-05-29,2024-05-29,1998-03-01,162.0
2024-05-29,2024-05-29,1998-04-01,162.2
2024-05-29,2024-05-29,1998-05-01,162.6
2024-05-29,2024-05-29,1998-06-01,162.8
2024-05-29,2024-05-29,1998-07-01,163.2
2024-05-29,2024-05-29,1998-08-01,163.4
2024-05-29,2024-05-29,1998-09-01,163.5
2024-05-29,2024-05-29,1998-10-01,163.9
2024-05-29,2024-05-29,1998-11-01,164.1
2024-05-29,2024-05-29,1998-12-01,164.4
2024-05-29,2024-05-29,1999-01-01,164.7
2024-05-29,2024-05-29,1999-02-01,164.7
2024-05-29,2024-05-29,1999-03-01,164.8
2024-05-29,2024-05-29,1999-04-01,165.9
2024-05-29,2024-05-29,1999-05-01,166.0
2024-05-29,2024-05-29,1999-06-01,166.0
2024-05-29,2024-05-29,1999-07-01,166.7
2024-05-29,2024-05-29,1999-08-01,167.1
2024-05-29,2024-05-29,1999-09-01,167.8
2024-05-29,2024-05-29,1999-10-01,168.1
2024-05-29,2024-05-29,1999-11-01,168.4
2024-05-29,2024-05-29,1999-12-01,168.8
2024-05-29,2024-05-29,2000-01-01,169.3
2024-05-29,2024-05-29,2000-02-01,170.0
2024-05-29,2024-05-29,2000-03-01,171.0
2024-05-29,2024-05-29,2000-04-01,170.9
2024-05-29,2024-05-29,2000-05-01,171.2
2024-05-29,2024-05-29,2000-06-01,172.2
2024-05-29,2024-05-29,2000-07-01,172.7
2024-05-29,2024-05-29,2000-08-01,172.7
2024-05-29,2024-05-29,2000-09-01,173.6
2024-05-29,2024-05-29,2000-10-01,173.9
2024-05-29,2024-05-29,2000-11-01,174.2
2024-05-29,2024-05-29,2000-12-01,174.6
2024-05-29,2024-05-29,2001-01-01,175.6
2024-05-29,2024-05-29,2001-02-01,176.0
2024-05-29,2024-05-29,2001-03-01,176.1
2024-05-29,2024-05-29,2001-04-01,176.4
2024-05-29,2024-05-29,2001-05-01,177.3
2024-05-29,2024-05-29,2001-06-01,177.7
2024-05-29,2024-05-29,2001-07-01,177.4
2024-05-29,2024-05-29,2001-08-01,177.4
2024-05-29,2024-05-29,2001-09-01,178.1
2024-05-29,2024-05-29,2001-10-01,177.6
2024-05-29,2024-05-29,2001-11-01,177.5
2024-05-29,2024-05-29,2001-12-01,177.4
2024-05-29,2024-05-29,2002-01-01,177.7
2024-05-29,2024-05-29,2002-02-01,178.0
2024-05-29,2024-05-29,2002-03-01,178.5
2024-05-29,2024-05-29,2002-04-01,179.3
2024-05-29,2024-05-29,2002-05-01,179.5
2024-05-29,2024-05-29,2002-06-01,179.6
2024-05-29,2024-05-29,2002-07-01,180.0
2024-05-29,2024-05-29,2002-08-01,180.5
2024-05-29,2024-05-29,2002-09-01,180.8
2024-05-29,2024-05-29,2002-10-01,181.2
2024-05-29,2024-05-29,2002-11-01,181.5
2024-05-29,2024-05-29,2002-12-01,181.8
2024-05-29,2024-05-29,2003-01-01,182.600
2024-05-29,2024-05-29,2003-02-01,183.600
2024-05-29,2024-05-29,2003-03-01,183.900
2024-05-29,2024-05-29,2003-04-01,183.200
2024-05-29,2024-05-29,2003-05-01,182.900
2024-05-29,2024-05-29,2003-06-01,183.100
2024-05-29,2024-05-29,2003-07-01,183.700
2024-05-29,2024-05-29,2003-08-01,184.5
2024-05-29,2024-05-29,2003-09-01,185.100
2024-05-29,2024-05-29,2003-10-01,184.9
2024-05-29,2024-05-29,2003-11-01,185.000
2024-05-29,2024-05-29,2003-12-01,185.500
2024-05-29,2024-05-29,2004-01-01,186.300
2024-05-29,2024-05-29,2004-02-01,186.700
2024-05-29,2024-05-29,2004-03-01,187.100
2024-05-29,2024-05-29,2004-04-01,187.400
2024-05-29,2024-05-29,2004-05-01,188.200
2024-05-29,2024-05-29,2004-06-01,188.900
2024-05-29,2024-05-29,2004-07-01,189.100
2024-05-29,2024-05-29,2004-08-01,189.200
2024-05-29,2024-05-29,2004-09-01,189.800
2024-05-29,2024-05-29,2004-10-01,190.8
2024-05-29,2024-05-29,2004-11-01,191.700
2024-05-29,2024-05-29,2004-12-01,191.700
2024-05-29,2024-05-29,2005-01-01,191.600
2024-05-29,2024-05-29,2005-02-01,192.400
2024-05-29,2024-05-29,2005-03-01,193.100
2024-05-29,2024-05-29,2005-04-01,193.700
2024-05-29,2024-05-29,2005-05-01,193.600
2024-05-29,2024-05-29,2005-06-01,193.700
2024-05-29,2024-05-29,2005-07-01,194.900
2024-05-29,2024-05-29,2005-08-01,196.100
2024-05-29,2024-05-29,2005-09-01,198.800
2024-05-29,2024-05-29,2005-10-01,199.100
2024-05-29,2024-05-29,2005-11-01,198.100
2024-05-29,2024-05-29,2005-12-01,198.100
2024-05-29,2024-05-29,2006-01-01,199.300
2024-05-29,2024-05-29,2006-02-01,199.400
2024-05-29,2024-05-29,2006-03-01,199.700
2024-05-29,2024-05-29,2006-04-01,200.700
2024-05-29,2024-05-29,2006-05-01,201.300
2024-05-29,2024-05-29,2006-06-01,201.800
2024-05-29,2024-05-29,2006-07-01,202.900
2024-05-29,2024-05-29,2006-08-01,203.800
2024-05-29,2024-05-29,2006-09-01,202.800
2024-05-29,2024-05-29,2006-10-01,201.900
2024-05-29,2024-05-29,2006-11-01,202.000
2024-05-29,2024-05-29,2006-12-01,203.100
2024-05-29,2024-05-29,2007-01-01,203.437
2024-05-29,2024-05-29,2007-02-01,204.226
2024-05-29,2024-05-29,2007-03-01,205.288
2024-05-29,2024-05-29,2007-04-01,205.904
2024-05-29,2024-05-29,2007-05-01,206.755
2024-05-29,2024-05-29,2007-06-01,207.234
2024-05-29,2024-05-29,2007-07-01,207.603
2024-05-29,2024-05-29,2007-08-01,207.667
2024-05-29,2024-05-29,2007-09-01,208.547
2024-05-29,2024-05-29,2007-10-01,209.190
2024-05-29,2024-05-29,2007-11-01,210.834
2024-05-29,2024-05-29,2007-12-01,211.445
2024-05-29,2024-05-29,2008-01-01,212.174
2024-05-29,2024-05-29,2008-02-01,212.687
2024-05-29,2024-05-29,2008-03-01,213.448
2024-05-29,2024-05-29,2008-04-01,213.942
2024-05-29,2024-05-29,2008-05-01,215.208
2024-05-29,2024-05-29,2008-06-01,217.463
2024-05-29,2024-05-29,2008-07-01,219.016
2024-05-29,2024-05-29,2008-08-01,218.690
2024-05-29,2024-05-29,2008-09-01,218.877
2024-05-29,2024-05-29,2008-10-01,216.995
2024-05-29,2024-05-29,2008-11-01,213.153
2024-05-29,2024-05-29,2008-12-01,211.398
2024-05-29,2024-05-29,2009-01-01,211.933
2024-05-29,2024-05-29,2009-02-01,212.705
2024-05-29,2024-05-29,2009-03-01,212.495
2024-05-29,2024-05-29,2009-04-01,212.709
2024-05-29,2024-05-29,2009-05-01,213.022
2024-05-29,2024-05-29,2009-06-01,214.790
2024-05-29,2024-05-29,2009-07-01,214.726
2024-05-29,2024-05-29,2009-08-01,215.445
2024-05-29,2024-05-29,2009-09-01,215.861
2024-05-29,2024-05-29,2009-10-01,216.509
2024-05-29,2024-05-29,2009-11-01,217.234
2024-05-29,2024-05-29,2009-12-01,217.347
2024-05-29,2024-05-29,2010-01-01,217.488
2024-05-29,2024-05-29,2010-02-01,217.281
2024-05-29,2024-05-29,2010-03-01,217.353
2024-05-29,2024-05-29,2010-04-01,217.403
2024-05-29,2024-05-29,2010-05-01,217.290
2024-05-29,2024-05-29,2010-06-01,217.199
2024-05-29,2024-05-29,2010-07-01,217.605
2024-05-29,2024-05-29,2010-08-01,217.923
2024-05-29,2024-05-29,2010-09-01,218.275
2024-05-29,2024-05-29,2010-10-01,219.035
2024-05-29,2024-05-29,2010-11-01,219.590
2024-05-29,2024-05-29,2010-12-01,220.472
2024-05-29,2024-05-29,2011-01-01,221.187
2024-05-29,2024-05-29,2011-02-01,221.898
2024-05-29,2024-05-29,2011-03-01,223.046
2024-05-29,2024-05-29,2011-04-01,224.093
2024-05-29,2024-05-29,2011-05-01,224.806
2024-05-29,2024-05-29,2011-06-01,224.806
2024-05-29,2024-05-29,2011-07-01,225.395
2024-05-29,2024-05-29,2011-08-01,226.106
2024-05-29,2024-05-29,2011-09-01,226.597
2024-05-29,2024-05-29,2011-10-01,226.750
2024-05-29,2024-05-29,2011-11-01,227.169
2024-05-29,2024-05-29,2011-12-01,227.223
2024-05-29,2024-05-29,2012-01-01,227.842
2024-05-29,2024-05-29,2012-02-01,228.329
2024-05-29,2024-05-29,2012-03-01,228.807
2024-05-29,2024-05-29,2012-04-01,229.187
2024-05-29,2024-05-29,2012-05-01,228.713
2024-05-29,2024-05-29,2012-06-01,228.524
2024-05-29,2024-05-29,2012-07-01,228.590
2024-05-29,2024-05-29,2012-08-01,229.918
2024-05-29,2024-05-29,2012-09-01,231.015
2024-05-29,2024-05-29,2012-10-01,231.638
2024-05-29,2024-05-29,2012-11-01,231.249
2024-05-29,2024-05-29,2012-12-01,231.221
2024-05-29,2024-05-29,2013-01-01,231.679
2024-05-29,2024-05-29,2013-02-01,232.937
2024-05-29,2024-05-29,2013-03-01,232.282
2024-05-29,2024-05-29,2013-04-01,231.797
2024-05-29,2024-05-29,2013-05-01,231.893
2024-05-29,2024-05-29,2013-06-01,232.445
2024-05-29,2024-05-29,2013-07-01,232.900
2024-05-29,2024-05-29,2013-08-01,233.456
2024-05-29,2024-05-29,2013-09-01,233.544
2024-05-29,2024-05-29,2013-10-01,233.669
2024-05-29,2024-05-29,2013-11-01,234.100
2024-05-29,2024-05-29,2013-12-01,234.719
2024-05-29,2024-05-29,2014-01-01,235.288
2024-05-29,2024-05-29,2014-02-01,235.547
2024-05-29,2024-05-29,2014-03-01,236.028
2024-05-29,2024-05-29,2014-04-01,236.468
2024-05-29,2024-05-29,2014-05-01,236.918
2024-05-29,2024-05-29,2014-06-01,237.231
2024-05-29,2024-05-29,2014-07-01,237.498
2024-05-29,2024-05-29,2014-08-01,237.460
2024-05-29,2024-05-29,2014-09-01,237.477
2024-05-29,2024-05-29,2014-10-01,237.430
2024-05-29,2024-05-29,2014-11-01,236.983
2024-05-29,2024-05-29,2014-12-01,236.252
2024-05-29,2024-05-29,2015-01-01,234.747
2024-05-29,2024-05-29,2015-02-01,235.342
2024-05-29,2024-05-29,2015-03-01,235.976
2024-05-29,2024-05-29,2015-04-01,236.222
2024-05-29,2024-05-29,2015-05-01,237.001
2024-05-29,2024-05-29,2015-06-01,237.657
2024-05-29,2024-05-29,2015-07-01,238.034
2024-05-29,2024-05-29,2015-08-01,238.033
2024-05-29,2024-05-29,2015-09-01,237.498
2024-05-29,2024-05-29,2015-10-01,237.733
2024-05-29,2024-05-29,2015-11-01,238.017
2024-05-29,2024-05-29,2015-12-01,237.761
2024-05-29,2024-05-29,2016-01-01,237.652
2024-05-29,2024-05-29,2016-02-01,237.336
2024-05-29,2024-05-29,2016-03-01,238.080
2024-05-29,2024-05-29,2016-04-01,238.992
2024-05-29,2024-05-29,2016-05-01,239.557
2024-05-29,2024-05-29,2016-06-01,240.222
2024-05-29,2024-05-29,2016-07-01,240.101
2024-05-29,2024-05-29,2016-08-01,240.545
2024-05-29,2024-05-29,2016-09-01,241.176
2024-05-29,2024-05-29,2016-10-01,241.741
2024-05-29,2024-05-29,2016-11-01,242.026
2024-05-29,2024-05-29,2016-12-01,242.637
2024-05-29,2024-05-29,2017-01-01,243.618
2024-05-29,2024-05-29,2017-02-01,244.006
2024-05-29,2024-05-29,2017-03-01,243.892
2024-05-29,2024-05-29,2017-04-01,244.193
2024-05-29,2024-05-29,2017-05-01,244.004
2024-05-29,2024-05-29,2017-06-01,244.163
2024-05-29,2024-05-29,2017-07-01,244.243
2024-05-29,2024-05-29,2017-08-01,245.183
2024-05-29,2024-05-29,2017-09-01,246.435
2024-05-29,2024-05-29,2017-10-01,246.626
2024-05-29,2024-05-29,2017-11-01,247.284
2024-05-29,2024-05-29,2017-12-01,247.805
2024-05-29,2024-05-29,2018-01-01,248.859
2024-05-29,2024-05-29,2018-02-01,249.529
2024-05-29,2024-05-29,2018-03-01,249.577
2024-05-29,2024-05-29,2018-04-01,250.227
2024-05-29,2024-05-29,2018-05-01,250.792
2024-05-29,2024-05-29,2018-06-01,251.018
2024-05-29,2024-05-29,2018-07-01,251.214
2024-05-29,2024-05-29,2018-08-01,251.663
2024-05-29,2024-05-29,2018-09-01,252.182
2024-05-29,2024-05-29,2018-10-01,252.772
2024-05-29,2024-05-29,2018-11-01,252.594
2024-05-29,2024-05-29,2018-12-01,252.767
2024-05-29,2024-05-29,2019-01-01,252.561
2024-05-29,2024-05-29,2019-02-01,253.319
2024-05-29,2024-05-29,2019-03-01,254.277
2024-05-29,2024-05-29,2019-04-01,255.233
2024-05-29,2024-05-29,2019-05-01,255.296
2024-05-29,2024-05-29,2019-06-01,255.213
2024-05-29,2024-05-29,2019-07-01,255.802
2024-05-29,2024-05-29,2019-08-01,256.036
2024-05-29,2024-05-29,2019-09-01,256.430
2024-05-29,2024-05-29,2019-10-01,257.155
2024-05-29,2024-05-29,2019-11-01,257.879
2024-05-29,2024-05-29,2019-12-01,258.630
2024-05-29,2024-05-29,2020-01-01,258.906
2024-05-29,2024-05-29,2020-02-01,259.246
2024-05-29,2024-05-29,2020-03-01,258.150
2024-05-29,2024-05-29,2020-04-01,256.126
2024-05-29,2024-05-29,2020-05-01,255.848
2024-05-29,2024-05-29,2020-06-01,257.004
2024-05-29,2024-05-29,2020-07-01,258.408
2024-05-29,2024-05-29,2020-08-01,259.366
2024-05-29,2024-05-29,2020-09-01,259.951
2024-05-29,2024-05-29,2020-10-01,260.249
2024-05-29,2024-05-29,2020-11-01,260.895
2024-05-29,2024-05-29,2020-12-01,262.005
2024-05-29,2024-05-29,2021-01-01,262.518
2024-05-29,2024-05-29,2021-02-01,263.583
2024-05-29,2024-05-29,2021-03-01,264.910
2024-05-29,2024-05-29,2021-04-01,266.752
2024-05-29,2024-05-29,2021-05-01,268.452
2024-05-29,2024-05-29,2021-06-01,270.664
2024-05-29,2024-05-29,2021-07-01,271.994
2024-05-29,2024-05-29,2021-08-01,272.789
2024-05-29,2024-05-29,2021-09-01,273.887
2024-05-29,2024-05-29,2021-10-01,276.434
2024-05-29,2024-05-29,2021-11-01,278.799
2024-05-29,2024-05-29,2021-12-01,280.808
2024-05-29,2024-05-29,2022-01-01,282.390
2024-05-29,2024-05-29,2022-02-01,284.535
2024-05-29,2024-05-29,2022-03-01,287.553
2024-05-29,2024-05-29,2022-04-01,288.764
2024-05-29,2024-05-29,2022-05-01,291.359
2024-05-29,2024-05-29,2022-06-01,294.996
2024-05-29,2024-05-29,2022-07-01,294.977
2024-05-29,2024-05-29,2022-08-01,295.209
2024-05-29,2024-05-29,2022-09-01,296.341
2024-05-29,2024-05-29,2022-10-01,297.863
2024-05-29,2024-05-29,2022-11-01,298.648
2024-05-29,2024-05-29,2022-12-01,298.812
2024-05-29,2024-05-29,2023-01-01,300.356
2024-05-29,2024-05-29,2023-02-01,301.509
2024-05-29,2024-05-29,2023-03-01,301.744
2024-05-29,2024-05-29,2023-04-01,303.032
2024-05-29,2024-05-29,2023-05-01,303.365
2024-05-29,2024-05-29,2023-06-01,304.003
2024-05-29,2024-05-29,2023-07-01,304.628
2024-05-29,2024-05-29,2023-08-01,306.187
2024-05-29,2024-05-29,2023-09-01,307.288
2024-05-29,2024-05-29,2023-10-01,307.531
2024-05-29,2024-05-29,2023-11-01,308.024
2024-05-29,2024-05-29,2023-12-01,308.742
2024-05-29,2024-05-29,2024-01-01,309.685
2024-05-29,2024-05-29,2024-02-01,311.054
2024-05-29,2024-05-29,2024-03-01,312.230
2024-05-29,2024-05-29,2024-04-01,313.207
