realtime_start,realtime_end,date,value
2024-05-29,2024-05-29,1951-01-01,25.38
2024-05-29,2024-05-29,1951-02-01,25.83
2024-05-29,2024-05-29,1951-03-01,25.88
2024-05-29,2024-05-29,1951-04-01,25.92
2024-05-29,2024-05-29,1951-05-01,25.99
2024-05-29,2024-05-29,1951-06-01,25.93
2024-05-29,2024-05-29,1951-07-01,25.91
2024-05-29,2024-05-29,1951-08-01,25.86
2024-05-29,2024-05-29,1951-09-01,26.03
2024-05-29,2024-05-29,1951-10-01,26.16
2024-05-29,2024-05-29,1951-11-01,26.32
2024-05-29,2024-05-29,1951-12-01,26.47
2024-05-29,2024-05-29,1952-01-01,26.45
2024-05-29,2024-05-29,1952-02-01,26.41
2024-05-29,2024-05-29,1952-03-01,26.39
2024-05-29,2024-05-29,1952-04-01,26.46
2024-05-29,2024-05-29,1952-05-01,26.47
2024-05-29,2024-05-29,1952-06-01,26.53
2024-05-29,2024-05-29,1952-07-01,26.68
2024-05-29,2024-05-29,1952-08-01,26.69
2024-05-29,2024-05-29,1952-09-01,26.63
2024-05-29,2024-05-29,1952-10-01,26.69
2024-05-29,2024-05-29,1952-11-01,26.69
2024-05-29,2024-05-29,1952-12-01,26.71
2024-05-29,2024-05-29,1953-01-01,26.64
2024-05-29,2024-05-29,1953-02-01,26.59
2024-05-29,2024-05-29,1953-03-01,26.63
2024-05-29,2024-05-29,1953-04-01,26.69
2024-05-29,2024-05-29,1953-05-01,26.7
2024-05-29,2024-05-29,1953-06-01,26.77
2024-05-29,2024-05-29,1953-07-01,26.79
2024-05-29,2024-05-29,1953-08-01,26.85
2024-05-29,2024-05-29,1953-09-01,26.89
2024-05-29,2024-05-29,1953-10-01,26.95
2024-05-29,2024-05-29,1953-11-01,26.85
2024-05-29,2024-05-29,1953-12-01,26.87
2024-05-29,2024-05-29,1954-01-01,26.94
2024-05-29,2024-05-29,1954-02-01,26.99
2024-05-29,2024-05-29,1954-03-01,26.93
2024-05-29,2024-05-29,1954-04-01,26.86
2024-05-29,2024-05-29,1954-05-01,26.93
2024-05-29,2024-05-29,1954-06-01,26.94
2024-05-29,2024-05-29,1954-07-01,26.86
2024-05-29,2024-05-29,1954-08-01,26.85
2024-05-29,2024-05-29,1954-09-01,26.81
2024-05-29,2024-05-29,1954-10-01,26.72
2024-05-29,2024-05-29,1954-11-01,26.78
2024-05-29,2024-05-29,1954-12-01,26.77
2024-05-29,2024-05-29,1955-01-01,26.77
2024-05-29,2024-05-29,1955-02-01,26.82
2024-05-29,2024-05-29,1955-03-01,26.79
2024-05-29,2024-05-29,1955-04-01,26.79
2024-05-29,2024-05-29,1955-05-01,26.77
2024-05-29,2024-05-29,1955-06-01,26.71
2024-05-29,2024-05-29,1955-07-01,26.76
2024-05-29,2024-05-29,1955-08-01,26.72
2024-05-29,2024-05-29,1955-09-01,26.85
2024-05-29,2024-05-29,1955-10-01,26.82
2024-05-29,2024-05-29,1955-11-01,26.88
2024-05-29,2024-05-29,1955-12-01,26.87
2024-05-29,2024-05-29,1956-01-01,26.83
2024-05-29,2024-05-29,1956-02-01,26.86
2024-05-29,2024-05-29,1956-03-01,26.89
2024-05-29,2024-05-29,1956-04-01,26.93
2024-05-29,2024-05-29,1956-05-01,27.03
2024-05-29,2024-05-29,1956-06-01,27.15
2024-05-29,2024-05-29,1956-07-01,27.29
2024-05-29,2024-05-29,1956-08-01,27.31
2024-05-29,2024-05-29,1956-09-01,27.35
2024-05-29,2024-05-29,1956-10-01,27.51
2024-05-29,2024-05-29,1956-11-01,27.51
2024-05-29,2024-05-29,1956-12-01,27.63
2024-05-29,2024-05-29,1957-01-01,27.67
2024-05-29,2024-05-29,1957-02-01,27.8
2024-05-29,2024-05-29,1957-03-01,27.86
2024-05-29,2024-05-29,1957-04-01,27.93
2024-05-29,2024-05-29,1957-05-01,28.0
2024-05-29,2024-05-29,1957-06-01,28.11
2024-05-29,2024-05-29,1957-07-01,28.19
2024-05-29,2024-05-29,1957-08-01,28.28
2024-05-29,2024-05-29,1957-09-01,28.32
2024-05-29,2024-05-29,1957-10-01,28.32
2024-05-29,2024-05-29,1957-11-01,28.41
2024-05-29,2024-05-29,1957-12-01,28.47
2024-05-29,2024-05-29,1958-01-01,28.64
2024-05-29,2024-05-29,1958-02-01,28.7
2024-05-29,2024-05-29,1958-03-01,28.87
2024-05-29,2024-05-29,1958-04-01,28.94
2024-05-29,2024-05-29,1958-05-01,28.94
2024-05-29,2024-05-29,1958-06-01,28.91
2024-05-29,2024-05-29,1958-07-01,28.89
2024-05-29,2024-05-29,1958-08-01,28.94
2024-05-29,2024-05-29,1958-09-01,28.91
2024-05-29,2024-05-29,1958-10-01,28.91
2024-05-29,2024-05-29,1958-11-01,28.95
2024-05-29,2024-05-29,1958-12-01,28.97
2024-05-29,2024-05-29,1959-01-01,29.01
2024-05-29,2024-05-29,1959-02-01,29.0
2024-05-29,2024-05-29,1959-03-01,28.97
2024-05-29,2024-05-29,1959-04-01,28.98
2024-05-29,2024-05-29,1959-05-01,29.04
2024-05-29,2024-05-29,1959-06-01,29.11
2024-05-29,2024-05-29,1959-07-01,29.15
2024-05-29,2024-05-29,1959-08-01,29.18
2024-05-29,2024-05-29,1959-09-01,29.25
2024-05-29,2024-05-29,1959-10-01,29.35
2024-05-29,2024-05-29,1959-11-01,29.35
2024-05-29,2024-05-29,1959-12-01,29.41
2024-05-29,2024-05-29,1960-01-01,29.37
2024-05-29,2024-05-29,1960-02-01,29.41
2024-05-29,2024-05-29,1960-03-01,29.41
2024-05-29,2024-05-29,1960-04-01,29.54
2024-05-29,2024-05-29,1960-05-01,29.57
2024-05-29,2024-05-29,1960-06-01,29.61
2024-05-29,2024-05-29,1960-07-01,29.55
2024-05-29,2024-05-29,1960-08-01,29.61
2024-05-29,2024-05-29,1960-09-01,29.61
2024-05-29,2024-05-29,1960-10-01,29.75
2024-05-29,2024-05-29,1960-11-01,29.78
2024-05-29,2024-05-29,1960-12-01,29.81
2024-05-29,2024-05-29,1961-01-01,29.84
2024-05-29,2024-05-29,1961-02-01,29.84
2024-05-29,2024-05-29,1961-03-01,29.84
2024-05-29,2024-05-29,1961-04-01,29.81
2024-05-29,2024-05-29,1961-05-01,29.84
2024-05-29,2024-05-29,1961-06-01,29.84
2024-05-29,2024-05-29,1961-07-01,29.92
2024-05-29,2024-05-29,1961-08-01,29.94
2024-05-29,2024-05-29,1961-09-01,29.98
2024-05-29,2024-05-29,1961-10-01,29.98
2024-05-29,2024-05-29,1961-11-01,29.98
2024-05-29,2024-05-29,1961-12-01,30.01
2024-05-29,2024-05-29,1962-01-01,30.04
2024-05-29,2024-05-29,1962-02-01,30.11
2024-05-29,2024-05-29,1962-03-01,30.17
2024-05-29,2024-05-29,1962-04-01,30.21
2024-05-29,2024-05-29,1962-05-01,30.24
2024-05-29,2024-05-29,1962-06-01,30.21
2024-05-29,2024-05-29,1962-07-01,30.22
2024-05-29,2024-05-29,1962-08-01,30.28
2024-05-29,2024-05-29,1962-09-01,30.42
2024-05-29,2024-05-29,1962-10-01,30.38
2024-05-29,2024-05-29,1962-11-01,30.38
2024-05-29,2024-05-29,1962-12-01,30.38
2024-05-29,2024-05-29,1963-01-01,30.44
2024-05-29,2024-05-29,1963-02-01,30.48
2024-05-29,2024-05-29,1963-03-01,30.51
2024-05-29,2024-05-29,1963-04-01,30.48
2024-05-29,2024-05-29,1963-05-01,30.51
2024-05-29,2024-05-29,1963-06-01,30.61
2024-05-29,2024-05-29,1963-07-01,30.69
2024-05-29,2024-05-29,1963-08-01,30.75
2024-05-29,2024-05-29,1963-09-01,30.72
2024-05-29,2024-05-29,1963-10-01,30.75
2024-05-29,2024-05-29,1963-11-01,30.78
2024-05-29,2024-05-29,1963-12-01,30.88
2024-05-29,2024-05-29,1964-01-01,30.94
2024-05-29,2024-05-29,1964-02-01,30.91
2024-05-29,2024-05-29,1964-03-01,30.94
2024-05-29,2024-05-29,1964-04-01,30.95
2024-05-29,2024-05-29,1964-05-01,30.98
2024-05-29,2024-05-29,1964-06-01,31.01
2024-05-29,2024-05-29,1964-07-01,31.02
2024-05-29,2024-05-29,1964-08-01,31.05
2024-05-29,2024-05-29,1964-09-01,31.08
2024-05-29,2024-05-29,1964-10-01,31.12
2024-05-29,2024-05-29,1964-11-01,31.21
2024-05-29,2024-05-29,1964-12-01,31.25
2024-05-29,2024-05-29,1965-01-01,31.28
2024-05-29,2024-05-29,1965-02-01,31.28
2024-05-29,2024-05-29,1965-03-01,31.31
2024-05-29,2024-05-29,1965-04-01,31.38
2024-05-29,2024-05-29,1965-05-01,31.48
2024-05-29,2024-05-29,1965-06-01,31.61
2024-05-29,2024-05-29,1965-07-01,31.58
2024-05-29,2024-05-29,1965-08-01,31.55
2024-05-29,2024-05-29,1965-09-01,31.62
2024-05-29,2024-05-29,1965-10-01,31.65
2024-05-29,2024-05-29,1965-11-01,31.75
2024-05-29,2024-05-29,1965-12-01,31.85
2024-05-29,2024-05-29,1966-01-01,31.88
2024-05-29,2024-05-29,1966-02-01,32.08
2024-05-29,2024-05-29,1966-03-01,32.18
2024-05-29,2024-05-29,1966-04-01,32.28
2024-05-29,2024-05-29,1966-05-01,32.35
2024-05-29,2024-05-29,1966-06-01,32.38
2024-05-29,2024-05-29,1966-07-01,32.45
2024-05-29,2024-05-29,1966-08-01,32.65
2024-05-29,2024-05-29,1966-09-01,32.75
2024-05-29,2024-05-29,1966-10-01,32.85
2024-05-29,2024-05-29,1966-11-01,32.88
2024-05-29,2024-05-29,1966-12-01,32.92
2024-05-29,2024-05-29,1967-01-01,32.9
2024-05-29,2024-05-29,1967-02-01,33.0
2024-05-29,2024-05-29,1967-03-01,33.0
2024-05-29,2024-05-29,1967-04-01,33.1
2024-05-29,2024-05-29,1967-05-01,33.1
2024-05-29,2024-05-29,1967-06-01,33.3
2024-05-29,2024-05-29,1967-07-01,33.4
2024-05-29,2024-05-29,1967-08-01,33.5
2024-05-29,2024-05-29,1967-09-01,33.6
2024-05-29,2024-05-29,1967-10-01,33.7
2024-05-29,2024-05-29,1967-11-01,33.9
2024-05-29,2024-05-29,1967-12-01,34.0
2024-05-29,2024-05-29,1968-01-01,34.1
2024-05-29,2024-05-29,1968-02-01,34.2
2024-05-29,2024-05-29,1968-03-01,34.3
2024-05-29,2024-05-29,1968-04-01,34.4
2024-05-29,2024-05-29,1968-05-01,34.5
2024-05-29,2024-05-29,1968-06-01,34.7
2024-05-29,2024-05-29,1968-07-01,34.9
2024-05-29,2024-05-29,1968-08-01,35.0
2024-05-29,2024-05-29,1968-09-01,35.1
2024-05-29,2024-05-29,1968-10-01,35.3
2024-05-29,2024-05-29,1968-11-01,35.4
2024-05-29,2024-05-29,1968-12-01,35.6
2024-05-29,2024-05-29,1969-01-01,35.7
2024-05-29,2024-05-29,1969-02-01,35.8
2024-05-29,2024-05-29,1969-03-01,36.1
